time,consumption_power
2024-05-13 21:08:08.024,392.000000000
2024-05-13 21:08:10.523,396.000000000
2024-05-13 21:08:13.023,411.000000000
2024-05-13 21:08:15.522,384.000000000
2024-05-13 21:08:18.022,395.000000000
2024-05-13 21:08:20.523,390.000000000
2024-05-13 21:08:23.022,399.000000000
2024-05-13 21:08:25.521,403.000000000
2024-05-13 21:08:28.021,376.000000000
2024-05-13 21:08:30.522,407.000000000
2024-05-13 21:08:33.023,389.000000000
2024-05-13 21:08:35.537,399.000000000
2024-05-13 21:08:38.037,413.000000000
2024-05-13 21:08:40.537,383.000000000
2024-05-13 21:08:43.036,391.000000000
2024-05-13 21:08:45.536,404.000000000
2024-05-13 21:08:48.045,394.000000000
2024-05-13 21:08:50.547,372.000000000
2024-05-13 21:08:53.047,405.000000000
2024-05-13 21:08:55.547,356.000000000
2024-05-13 21:08:58.047,435.000000000
2024-05-13 21:09:00.547,389.000000000
2024-05-13 21:09:03.046,431.000000000
2024-05-13 21:09:05.551,421.000000000
2024-05-13 21:09:08.050,429.000000000
2024-05-13 21:09:10.550,429.000000000
2024-05-13 21:09:13.049,445.000000000
2024-05-13 21:09:15.550,442.000000000
2024-05-13 21:09:18.049,444.000000000
2024-05-13 21:09:20.550,342.000000000
2024-05-13 21:09:23.049,443.000000000
2024-05-13 21:09:25.549,373.000000000
2024-05-13 21:09:28.048,412.000000000
2024-05-13 21:09:30.548,410.000000000
2024-05-13 21:09:33.048,398.000000000
2024-05-13 21:09:35.548,431.000000000
2024-05-13 21:09:38.047,433.000000000
2024-05-13 21:09:40.548,394.000000000
2024-05-13 21:09:43.047,421.000000000
2024-05-13 21:09:45.546,437.000000000
2024-05-13 21:09:48.046,416.000000000
2024-05-13 21:09:50.546,426.000000000
2024-05-13 21:09:53.045,401.000000000
2024-05-13 21:09:55.546,416.000000000
2024-05-13 21:09:58.045,386.000000000
2024-05-13 21:10:00.545,401.000000000
2024-05-13 21:10:03.044,397.000000000
2024-05-13 21:10:05.544,401.000000000
2024-05-13 21:10:08.043,404.000000000
2024-05-13 21:10:10.544,418.000000000
2024-05-13 21:10:13.044,437.000000000
2024-05-13 21:10:15.542,421.000000000
2024-05-13 21:10:18.042,420.000000000
2024-05-13 21:10:20.541,412.000000000
2024-05-13 21:10:23.041,421.000000000
2024-05-13 21:10:25.541,409.000000000
2024-05-13 21:10:28.041,410.000000000
2024-05-13 21:10:30.540,429.000000000
2024-05-13 21:10:33.040,409.000000000
2024-05-13 21:10:35.539,396.000000000
2024-05-13 21:10:38.039,428.000000000
2024-05-13 21:10:40.539,410.000000000
2024-05-13 21:10:43.040,423.000000000
2024-05-13 21:10:45.539,426.000000000
2024-05-13 21:10:48.040,411.000000000
2024-05-13 21:10:50.539,405.000000000
2024-05-13 21:10:53.040,392.000000000
2024-05-13 21:10:55.541,404.000000000
2024-05-13 21:10:58.041,408.000000000
2024-05-13 21:11:00.540,411.000000000
2024-05-13 21:11:03.040,431.000000000
2024-05-13 21:11:05.539,412.000000000
2024-05-13 21:11:08.039,418.000000000
2024-05-13 21:11:10.539,447.000000000
2024-05-13 21:11:13.038,423.000000000
2024-05-13 21:11:15.537,390.000000000
2024-05-13 21:11:18.038,425.000000000
2024-05-13 21:11:20.538,408.000000000
2024-05-13 21:11:23.036,422.000000000
2024-05-13 21:11:25.537,432.000000000
2024-05-13 21:11:28.036,413.000000000
2024-05-13 21:11:30.541,431.000000000
2024-05-13 21:11:33.040,418.000000000
2024-05-13 21:11:35.539,414.000000000
2024-05-13 21:11:38.041,408.000000000
2024-05-13 21:11:40.541,396.000000000
2024-05-13 21:11:43.041,417.000000000
2024-05-13 21:11:45.541,408.000000000
2024-05-13 21:11:48.040,399.000000000
2024-05-13 21:11:50.541,405.000000000
2024-05-13 21:11:53.044,431.000000000
2024-05-13 21:11:55.545,402.000000000
2024-05-13 21:11:58.045,403.000000000
2024-05-13 21:12:00.545,414.000000000
2024-05-13 21:12:03.045,407.000000000
2024-05-13 21:12:05.545,406.000000000
2024-05-13 21:12:08.047,433.000000000
2024-05-13 21:12:10.546,428.000000000
2024-05-13 21:12:13.047,421.000000000
2024-05-13 21:12:15.547,411.000000000
2024-05-13 21:12:18.046,430.000000000
2024-05-13 21:12:20.547,430.000000000
2024-05-13 21:12:23.048,425.000000000
2024-05-13 21:12:25.547,413.000000000
2024-05-13 21:12:28.048,431.000000000
2024-05-13 21:12:30.548,431.000000000
2024-05-13 21:12:33.048,394.000000000
2024-05-13 21:12:35.548,424.000000000
2024-05-13 21:12:38.048,399.000000000
2024-05-13 21:12:40.549,404.000000000
2024-05-13 21:12:43.049,420.000000000
2024-05-13 21:12:45.550,381.000000000
2024-05-13 21:12:48.049,388.000000000
2024-05-13 21:12:50.549,435.000000000
2024-05-13 21:12:53.048,396.000000000
2024-05-13 21:12:55.547,423.000000000
2024-05-13 21:12:58.046,416.000000000
2024-05-13 21:13:00.546,384.000000000
2024-05-13 21:13:03.045,426.000000000
2024-05-13 21:13:05.545,418.000000000
2024-05-13 21:13:08.045,406.000000000
2024-05-13 21:13:10.544,445.000000000
2024-05-13 21:13:13.044,422.000000000
2024-05-13 21:13:15.544,417.000000000
2024-05-13 21:13:18.043,400.000000000
2024-05-13 21:13:20.545,413.000000000
2024-05-13 21:13:23.045,427.000000000
2024-05-13 21:13:25.545,402.000000000
2024-05-13 21:13:28.045,414.000000000
2024-05-13 21:13:30.545,409.000000000
2024-05-13 21:13:33.044,398.000000000
2024-05-13 21:13:35.545,402.000000000
2024-05-13 21:13:38.045,405.000000000
2024-05-13 21:13:42.066,413.000000000
2024-05-13 21:13:44.575,412.000000000
2024-05-13 21:13:47.075,427.000000000
2024-05-13 21:13:49.575,426.000000000
2024-05-13 21:13:52.074,407.000000000
2024-05-13 21:13:54.581,403.000000000
2024-05-13 21:13:57.081,396.000000000
2024-05-13 21:14:00.262,404.000000000
2024-05-13 21:14:02.762,407.000000000
2024-05-13 21:14:05.261,367.000000000
2024-05-13 21:14:07.762,395.000000000
2024-05-13 21:14:10.261,411.000000000
2024-05-13 21:14:12.761,397.000000000
2024-05-13 21:14:15.261,395.000000000
2024-05-13 21:14:17.760,389.000000000
2024-05-13 21:14:20.260,379.000000000
2024-05-13 21:14:22.759,412.000000000
2024-05-13 21:14:25.258,415.000000000
2024-05-13 21:14:27.758,408.000000000
2024-05-13 21:14:30.259,418.000000000
2024-05-13 21:14:32.760,399.000000000
2024-05-13 21:14:35.259,393.000000000
2024-05-13 21:14:37.758,413.000000000
2024-05-13 21:14:40.258,420.000000000
2024-05-13 21:14:42.757,412.000000000
2024-05-13 21:14:45.257,402.000000000
2024-05-13 21:14:47.756,396.000000000
2024-05-13 21:14:50.256,427.000000000
2024-05-13 21:14:52.755,401.000000000
2024-05-13 21:14:55.254,372.000000000
2024-05-13 21:14:57.755,371.000000000
2024-05-13 21:15:00.255,417.000000000
2024-05-13 21:15:02.755,412.000000000
2024-05-13 21:15:05.255,398.000000000
2024-05-13 21:15:07.755,412.000000000
2024-05-13 21:15:10.254,406.000000000
2024-05-13 21:15:12.753,451.000000000
2024-05-13 21:15:15.255,433.000000000
2024-05-13 21:15:17.754,427.000000000
2024-05-13 21:15:20.255,447.000000000
2024-05-13 21:15:22.755,399.000000000
2024-05-13 21:15:25.256,404.000000000
2024-05-13 21:15:27.756,428.000000000
2024-05-13 21:15:30.256,420.000000000
2024-05-13 21:15:32.756,420.000000000
2024-05-13 21:15:35.255,438.000000000
2024-05-13 21:15:37.754,442.000000000
2024-05-13 21:15:40.255,425.000000000
2024-05-13 21:15:42.756,428.000000000
2024-05-13 21:15:45.257,421.000000000
2024-05-13 21:15:47.757,438.000000000
2024-05-13 21:15:50.256,460.000000000
2024-05-13 21:15:52.756,418.000000000
2024-05-13 21:15:55.256,424.000000000
2024-05-13 21:15:57.754,428.000000000
2024-05-13 21:16:00.255,421.000000000
